task,mode,run,model,C1,C2,C3,C4,C5,C6,CSR_obj,CSR_normal,CSR_counter,notes,status
MC-PY-03,H,1,deepseek,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,MD5-identical across all tasks/modes/runs; platform execution anomaly,INVALID_PLATFORM_ANOMALY
MC-PY-03,H,2,deepseek,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,MD5-identical across all tasks/modes/runs; platform execution anomaly,INVALID_PLATFORM_ANOMALY
MC-PY-03,H,3,deepseek,1,1,1,1,1,1,1.000,1.000,1.000,,SCORED
MC-PY-03,H,4,deepseek,1,1,1,1,1,1,1.000,1.000,1.000,,SCORED
MC-PY-03,H,5,deepseek,1,1,1,1,0,1,0.833,0.750,1.000,C5:no TemplateSyntaxError class,SCORED
MC-PY-03,H,6,deepseek,1,1,1,1,1,1,1.000,1.000,1.000,,SCORED
MC-PY-03,S,1,deepseek,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,MD5-identical across all tasks/modes/runs; platform execution anomaly,INVALID_PLATFORM_ANOMALY
MC-PY-03,S,2,deepseek,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,MD5-identical across all tasks/modes/runs; platform execution anomaly,INVALID_PLATFORM_ANOMALY
MC-PY-03,S,3,deepseek,1,1,1,1,1,1,1.000,1.000,1.000,,SCORED
MC-PY-03,S,4,deepseek,1,1,1,1,1,1,1.000,1.000,1.000,,SCORED
MC-PY-03,S,5,deepseek,1,1,1,1,0,1,0.833,0.750,1.000,C5:no TemplateSyntaxError class,SCORED
MC-PY-03,S,6,deepseek,1,1,1,1,0,1,0.833,0.750,1.000,C5:no TemplateSyntaxError class,SCORED
